[2020-06-28 15:49:13] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 15:55:44] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 15:55:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-06-28 15:55:47] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /images/default/avatar.png
[2020-06-28 15:55:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-28 15:55:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-28 15:55:48] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-28 15:55:49] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 15:55:49] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-28 16:02:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 16:02:22] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-06-28 16:02:22] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /images/default/avatar.png
[2020-06-28 16:02:22] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-06-28 16:02:22] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-06-28 16:02:23] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-06-28 16:02:23] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-06-28 16:02:23] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-06-28 16:19:00] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /docs/trang-tin-tuc.html
[2020-06-28 16:19:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /static/posts/90x90/default.png
[2020-06-28 16:19:02] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /images/default/avatar.png
