[2020-07-01 15:51:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-07-01 15:51:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-01 15:51:26] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/kiem-tra-gia
[2020-07-01 15:51:37] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/thach-thanh.html
[2020-07-01 15:55:58] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/thach-thanh.html
[2020-07-01 15:56:00] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-07-01 15:56:00] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-07-01 15:56:00] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-07-01 15:56:01] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-01 15:56:01] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
-gia
[2020-07-01 15:57:01] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/thach-thanh.html
[2020-07-01 15:57:03] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-07-01 15:57:03] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-07-01 15:57:03] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-07-01 15:57:04] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/kiem-tra-gia
[2020-07-01 15:57:04] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-01 15:57:04] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-07-01 16:02:03] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/thach-thanh.html
[2020-07-01 16:02:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-07-01 16:02:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-07-01 16:02:06] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-07-01 16:02:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/kiem-tra-gia
[2020-07-01 16:02:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /cart/check-data
[2020-07-01 16:02:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-01 16:02:17] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/thach-thanh.html
[2020-07-01 16:02:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-07-01 16:02:19] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
p
[2020-07-01 16:02:20] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
[2020-07-01 16:02:20] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/kiem-tra-gia
[2020-07-01 16:03:05] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /san-pham/thach-thanh.html
[2020-07-01 16:03:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/swiper.min.js.map
[2020-07-01 16:03:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/css/style.css.map
[2020-07-01 16:03:07] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /assets/noof-food/desktop/js/bootstrap.min.js.map
[2020-07-01 16:03:08] ip: 127.0.0.1, mac: , OS: Windows 10, Brower: Chrome, path: /check-auth
